genome_name	ncbi_acc
CANOPY_0167	GCA_000434355.1
CANOPY_0168	GCA_000434375.1
CANOPY_0169	GCA_000434395.1
CANOPY_0170	GCA_000434415.1
CANOPY_0171	GCA_000434435.1
CANOPY_0172	GCA_000434455.1
CANOPY_0173	GCA_000434475.1
CANOPY_0174	GCA_000434495.1
CANOPY_0175	GCA_000434515.1
CANOPY_0176	GCA_000434535.1
CANOPY_0177	GCA_000434555.1
CANOPY_0178	GCA_000434575.1
CANOPY_0179	GCA_000434595.1
CANOPY_0180	GCA_000434615.1
CANOPY_0181	GCA_000434635.1
CANOPY_0182	GCA_000434655.1
CANOPY_0183	GCA_000434675.1
CANOPY_0184	GCA_000434695.1
CANOPY_0185	GCA_000434715.1
CANOPY_0186	GCA_000434735.1
CANOPY_0187	GCA_000434755.1
CANOPY_0188	GCA_000434775.1
CANOPY_0189	GCA_000434795.1
CANOPY_0190	GCA_000434815.1
CANOPY_0191	GCA_000434835.1
CANOPY_0192	GCA_000434855.1
CANOPY_0193	GCA_000434875.1
CANOPY_0194	GCA_000434895.1
CANOPY_0195	GCA_000434915.1
CANOPY_0196	GCA_000434935.1
CANOPY_0197	GCA_000434955.1
CANOPY_0198	GCA_000434975.1
CANOPY_0199	GCA_000434995.1
CANOPY_0200	GCA_000435015.1
CANOPY_0201	GCA_000435035.1
CANOPY_0202	GCA_000435055.1
CANOPY_0203	GCA_000435075.1
CANOPY_0204	GCA_000435095.1
CANOPY_0205	GCA_000435115.1
CANOPY_0206	GCA_000435135.1
CANOPY_0207	GCA_000435155.1
CANOPY_0208	GCA_000435175.1
CANOPY_0209	GCA_000435195.1
CANOPY_0210	GCA_000435215.1
CANOPY_0211	GCA_000435235.1
CANOPY_0212	GCA_000435255.1
CANOPY_0213	GCA_000435275.1
CANOPY_0214	GCA_000435295.1
CANOPY_0215	GCA_000435315.1
CANOPY_0216	GCA_000435335.1
CANOPY_0217	GCA_000435355.1
CANOPY_0218	GCA_000435375.1
CANOPY_0219	GCA_000435395.1
CANOPY_0220	GCA_000435415.1
CANOPY_0221	GCA_000435435.1
CANOPY_0222	GCA_000435455.1
CANOPY_0223	GCA_000435475.1
CANOPY_0224	GCA_000435495.1
CANOPY_0225	GCA_000435515.1
CANOPY_0226	GCA_000435535.1
CANOPY_0227	GCA_000435555.1
CANOPY_0228	GCA_000435575.1
CANOPY_0229	GCA_000435595.1
CANOPY_0230	GCA_000435615.1
CANOPY_0231	GCA_000435635.1
CANOPY_0232	GCA_000435655.1
CANOPY_0233	GCA_000435675.1
CANOPY_0234	GCA_000435695.1
CANOPY_0235	GCA_000435715.1
CANOPY_0236	GCA_000435735.1
CANOPY_0237	GCA_000435755.1
CANOPY_0238	GCA_000435775.1
CANOPY_0239	GCA_000435795.1
CANOPY_0240	GCA_000435815.1
CANOPY_0241	GCA_000435835.1
CANOPY_0242	GCA_000435855.1
CANOPY_0243	GCA_000435875.1
CANOPY_0244	GCA_000435895.1
CANOPY_0245	GCA_000435915.1
CANOPY_0246	GCA_000435935.1
CANOPY_0247	GCA_000435955.1
CANOPY_0248	GCA_000435975.1
CANOPY_0249	GCA_000435995.1
CANOPY_0250	GCA_000436015.1
CANOPY_0251	GCA_000436035.1
CANOPY_0252	GCA_000436055.1
CANOPY_0253	GCA_000436075.1
CANOPY_0254	GCA_000436095.1
CANOPY_0255	GCA_000436115.1
CANOPY_0256	GCA_000436135.1
CANOPY_0257	GCA_000436155.1
CANOPY_0258	GCA_000436175.1
CANOPY_0259	GCA_000436195.1
CANOPY_0260	GCA_000436215.1
CANOPY_0261	GCA_000436235.1
CANOPY_0262	GCA_000436255.1
CANOPY_0263	GCA_000436275.1
CANOPY_0264	GCA_000436295.1
CANOPY_0265	GCA_000436315.1
CANOPY_0266	GCA_000436335.1
CANOPY_0267	GCA_000436355.1
CANOPY_0268	GCA_000436375.1
CANOPY_0269	GCA_000436395.1
CANOPY_0270	GCA_000436415.1
CANOPY_0271	GCA_000436435.1
CANOPY_0272	GCA_000436455.1
CANOPY_0273	GCA_000436475.1
CANOPY_0274	GCA_000436495.1
CANOPY_0275	GCA_000436515.1
CANOPY_0276	GCA_000436535.1
CANOPY_0277	GCA_000436555.1
CANOPY_0278	GCA_000436575.1
CANOPY_0279	GCA_000436595.1
CANOPY_0280	GCA_000436615.1
CANOPY_0281	GCA_000436635.1
CANOPY_0282	GCA_000436655.1
CANOPY_0283	GCA_000436675.1
CANOPY_0284	GCA_000436695.1
CANOPY_0285	GCA_000436715.1
CANOPY_0286	GCA_000436735.1
CANOPY_0287	GCA_000436755.1
CANOPY_0288	GCA_000436775.1
CANOPY_0289	GCA_000436795.1
CANOPY_0290	GCA_000436815.1
CANOPY_0291	GCA_000436835.1
CANOPY_0292	GCA_000436855.1
CANOPY_0293	GCA_000436875.1
CANOPY_0294	GCA_000436895.1
CANOPY_0295	GCA_000436915.1
CANOPY_0296	GCA_000436935.1
CANOPY_0297	GCA_000436955.1
CANOPY_0298	GCA_000436975.1
CANOPY_0299	GCA_000436995.1
CANOPY_0300	GCA_000437015.1
CANOPY_0301	GCA_000437035.1
CANOPY_0302	GCA_000437055.1
CANOPY_0303	GCA_000437075.1
CANOPY_0304	GCA_000437095.1
CANOPY_0305	GCA_000437115.1
CANOPY_0306	GCA_000437135.1
CANOPY_0307	GCA_000437155.1
CANOPY_0308	GCA_000437175.1
CANOPY_0309	GCA_000437195.1
CANOPY_0310	GCA_000437215.1
CANOPY_0311	GCA_000437235.1
CANOPY_0312	GCA_000437255.1
CANOPY_0313	GCA_000437275.1
CANOPY_0314	GCA_000437295.1
CANOPY_0315	GCA_000437315.1
CANOPY_0316	GCA_000437335.1
CANOPY_0317	GCA_000437355.1
CANOPY_0318	GCA_000437375.1
CANOPY_0319	GCA_000437395.1
CANOPY_0320	GCA_000437415.1
CANOPY_0321	GCA_000437435.1
CANOPY_0322	GCA_000437455.1
CANOPY_0323	GCA_000437475.1
CANOPY_0324	GCA_000437495.1
CANOPY_0325	GCA_000437515.1
CANOPY_0326	GCA_000437535.1
CANOPY_0327	GCA_000437555.1
CANOPY_0328	GCA_000437575.1
CANOPY_0329	GCA_000437595.1
CANOPY_0330	GCA_000437615.1
CANOPY_0331	GCA_000437635.1
CANOPY_0332	GCA_000437655.1
CANOPY_0333	GCA_000437675.1
CANOPY_0334	GCA_000437695.1
CANOPY_0335	GCA_000437715.1
CANOPY_0336	GCA_000437735.1
CANOPY_0337	GCA_000437755.1
CANOPY_0338	GCA_000437775.1
CANOPY_0339	GCA_000437795.1
