genome_name	ncbi_acc
PRJNA386568_0000	GCA_003156215.1
PRJNA386568_0001	GCA_003168115.1
PRJNA386568_0002	GCA_003166205.1
PRJNA386568_0003	GCA_003164455.1
PRJNA386568_0004	GCA_003164305.1
PRJNA386568_0005	GCA_003164135.1
PRJNA386568_0006	GCA_003164175.1
PRJNA386568_0007	GCA_003151425.1
PRJNA386568_0008	GCA_003140495.1
PRJNA386568_0009	GCA_003139935.1
PRJNA386568_0010	GCA_003138135.1
PRJNA386568_0011	GCA_003137135.1
PRJNA386568_0012	GCA_003133265.1
PRJNA386568_0013	GCA_003133065.1
PRJNA386568_0014	GCA_003131275.1
PRJNA386568_0015	GCA_003132305.1
PRJNA386568_0016	GCA_003132285.1
PRJNA386568_0017	GCA_003132205.1
PRJNA386568_0018	GCA_003132165.1
PRJNA386568_0019	GCA_003131945.1
PRJNA386568_0020	GCA_003131665.1
PRJNA386568_0021	GCA_003133045.1
PRJNA386568_0022	GCA_003133005.1
PRJNA386568_0023	GCA_003133125.1
PRJNA386568_0024	GCA_003133105.1
PRJNA386568_0025	GCA_003133325.1
PRJNA386568_0026	GCA_003133405.1
PRJNA386568_0027	GCA_003133365.1
PRJNA386568_0028	GCA_003132925.1
PRJNA386568_0029	GCA_003133075.1
PRJNA386568_0030	GCA_003132725.1
PRJNA386568_0031	GCA_003132705.1
PRJNA386568_0032	GCA_003132685.1
PRJNA386568_0033	GCA_003134415.1
PRJNA386568_0034	GCA_003134395.1
PRJNA386568_0035	GCA_003134335.1
PRJNA386568_0036	GCA_003134255.1
PRJNA386568_0037	GCA_003134235.1
PRJNA386568_0038	GCA_003134195.1
PRJNA386568_0039	GCA_003134175.1
PRJNA386568_0040	GCA_003134135.1
PRJNA386568_0041	GCA_003133975.1
PRJNA386568_0042	GCA_003133885.1
PRJNA386568_0043	GCA_003133865.1
PRJNA386568_0044	GCA_003133685.1
PRJNA386568_0045	GCA_003133665.1
PRJNA386568_0046	GCA_003133545.1
PRJNA386568_0047	GCA_003136415.1
PRJNA386568_0048	GCA_003136185.1
