genome_name	ncbi_acc
PRJNA279279_0000	GCA_001899175.1
PRJNA279279_0001	GCA_001725205.1
PRJNA279279_0002	GCA_001724025.1
PRJNA279279_0003	GCA_001897435.1
PRJNA279279_0004	GCA_001897915.1
PRJNA279279_0005	GCA_001724055.1
PRJNA279279_0006	GCA_001724795.1
PRJNA279279_0007	GCA_001724785.1
PRJNA279279_0008	GCA_001897345.1
PRJNA279279_0009	GCA_001897925.1
PRJNA279279_0010	GCA_001897425.1
PRJNA279279_0011	GCA_001898585.1
PRJNA279279_0012	GCA_001897905.1
PRJNA279279_0013	GCA_001897755.1
PRJNA279279_0014	GCA_001724035.1
PRJNA279279_0015	GCA_001897775.1
PRJNA279279_0016	GCA_001897445.1
PRJNA279279_0017	GCA_001898075.1
PRJNA279279_0018	GCA_001897795.1
PRJNA279279_0019	GCA_001897475.1
PRJNA279279_0020	GCA_001898015.1
PRJNA279279_0021	GCA_001896865.1
PRJNA279279_0022	GCA_001896945.1
PRJNA279279_0023	GCA_001897995.1
PRJNA279279_0024	GCA_001896805.1
PRJNA279279_0025	GCA_001897135.1
PRJNA279279_0026	GCA_001724815.1
PRJNA279279_0027	GCA_001898035.1
PRJNA279279_0028	GCA_001897505.1
PRJNA279279_0029	GCA_001897035.1
PRJNA279279_0030	GCA_001897535.1
PRJNA279279_0031	GCA_001897515.1
PRJNA279279_0032	GCA_001897525.1
PRJNA279279_0033	GCA_001897855.1
PRJNA279279_0034	GCA_001897835.1
PRJNA279279_0035	GCA_001897155.1
PRJNA279279_0036	GCA_001898165.1
PRJNA279279_0037	GCA_001897595.1
PRJNA279279_0038	GCA_001724075.1
PRJNA279279_0039	GCA_001724095.1
PRJNA279279_0040	GCA_001725665.1
PRJNA279279_0041	GCA_001898115.1
PRJNA279279_0042	GCA_001897025.1
PRJNA279279_0043	GCA_001897585.1
PRJNA279279_0044	GCA_001898655.1
PRJNA279279_0045	GCA_001897215.1
PRJNA279279_0046	GCA_001898625.1
PRJNA279279_0047	GCA_001897615.1
PRJNA279279_0048	GCA_001897845.1
PRJNA279279_0049	GCA_001898665.1
PRJNA279279_0050	GCA_001898645.1
PRJNA279279_0051	GCA_001898725.1
PRJNA279279_0052	GCA_001898705.1
PRJNA279279_0053	GCA_001897745.1
PRJNA279279_0054	GCA_001897825.1
PRJNA279279_0055	GCA_001897305.1
PRJNA279279_0056	GCA_001897295.1
PRJNA279279_0057	GCA_001896875.1
PRJNA279279_0058	GCA_001898185.1
PRJNA279279_0059	GCA_001898175.1
PRJNA279279_0060	GCA_001897185.1
PRJNA279279_0061	GCA_001897225.1
PRJNA279279_0062	GCA_001899005.1
PRJNA279279_0063	GCA_001898225.1
PRJNA279279_0064	GCA_001898785.1
PRJNA279279_0065	GCA_001898255.1
PRJNA279279_0066	GCA_001724115.1
PRJNA279279_0067	GCA_001897605.1
PRJNA279279_0068	GCA_001896915.1
PRJNA279279_0069	GCA_001725215.1
PRJNA279279_0070	GCA_001725235.1
PRJNA279279_0071	GCA_001724135.1
PRJNA279279_0072	GCA_001725255.1
PRJNA279279_0073	GCA_001724175.1
PRJNA279279_0074	GCA_001898745.1
PRJNA279279_0075	GCA_001899045.1
PRJNA279279_0076	GCA_001899085.1
PRJNA279279_0077	GCA_001899065.1
PRJNA279279_0078	GCA_001899075.1
PRJNA279279_0079	GCA_001724185.1
PRJNA279279_0080	GCA_001898145.1
PRJNA279279_0081	GCA_001899125.1
PRJNA279279_0082	GCA_001898735.1
PRJNA279279_0083	GCA_001724215.1
PRJNA279279_0084	GCA_001724195.1
PRJNA279279_0085	GCA_001899145.1
PRJNA279279_0086	GCA_001899155.1
PRJNA279279_0087	GCA_001898245.1
PRJNA279279_0088	GCA_001724245.1
PRJNA279279_0089	GCA_001898235.1
PRJNA279279_0090	GCA_001724275.1
PRJNA279279_0091	GCA_001725305.1
PRJNA279279_0092	GCA_001897365.1
PRJNA279279_0093	GCA_001724835.1
PRJNA279279_0094	GCA_001724295.1
PRJNA279279_0095	GCA_001724045.1
PRJNA279279_0096	GCA_001725315.1
PRJNA279279_0097	GCA_001724855.1
PRJNA279279_0098	GCA_001724315.1
PRJNA279279_0099	GCA_001897665.1
PRJNA279279_0100	GCA_001899505.1
PRJNA279279_0101	GCA_001898805.1
PRJNA279279_0102	GCA_001725325.1
PRJNA279279_0103	GCA_001898825.1
PRJNA279279_0104	GCA_001897075.1
PRJNA279279_0105	GCA_001899205.1
PRJNA279279_0106	GCA_001724345.1
PRJNA279279_0107	GCA_001724355.1
PRJNA279279_0108	GCA_001724885.1
PRJNA279279_0109	GCA_001898325.1
PRJNA279279_0110	GCA_001897945.1
PRJNA279279_0111	GCA_001897985.1
PRJNA279279_0112	GCA_001898315.1
PRJNA279279_0113	GCA_001897105.1
PRJNA279279_0114	GCA_001897265.1
PRJNA279279_0115	GCA_001898305.1
PRJNA279279_0116	GCA_001724435.1
PRJNA279279_0117	GCA_001725685.1
PRJNA279279_0118	GCA_001724385.1
PRJNA279279_0119	GCA_001724395.1
PRJNA279279_0120	GCA_001724425.1
PRJNA279279_0121	GCA_001724905.1
PRJNA279279_0122	GCA_001725695.1
PRJNA279279_0123	GCA_001898905.1
PRJNA279279_0124	GCA_001898835.1
PRJNA279279_0125	GCA_001898855.1
PRJNA279279_0126	GCA_001898885.1
PRJNA279279_0127	GCA_001898335.1
