genome_name	ncbi_acc
GTDB_00177	GCF_000012005.1
GTDB_00178	GCF_000012085.2
GTDB_00179	GCF_000012145.1
GTDB_00180	GCF_000012205.1
GTDB_00181	GCF_000012225.1
GTDB_00182	GCF_000012245.1
GTDB_00183	GCF_000012265.1
GTDB_00184	GCF_000012285.1
GTDB_00185	GCF_000012305.1
GTDB_00186	GCF_000012325.1
GTDB_00187	GCF_000012345.1
GTDB_00188	GCF_000012365.1
GTDB_00189	GCF_000012385.1
GTDB_00190	GCF_000012405.1
GTDB_00191	GCF_000012425.1
GTDB_00192	GCF_000012445.1
GTDB_00193	GCF_000012465.1
GTDB_00194	GCF_000012485.1
GTDB_00195	GCF_000012505.1
GTDB_00196	GCF_000012525.1
GTDB_00197	GCF_000012545.1
GTDB_00198	GCF_000012565.1
GTDB_00199	GCF_000012585.1
GTDB_00200	GCF_000012605.1
GTDB_00201	GCF_000012625.1
GTDB_00202	GCF_000012645.1
GTDB_00203	GCF_000012665.1
GTDB_00204	GCF_000012685.1
GTDB_00205	GCF_000012725.1
GTDB_00206	GCF_000012745.1
GTDB_00207	GCF_000012765.1
GTDB_00208	GCF_000012805.1
GTDB_00209	GCF_000012825.1
GTDB_00210	GCF_000012845.1
GTDB_00211	GCF_000012865.1
GTDB_00212	GCF_000012885.1
GTDB_00213	GCF_000012905.2
GTDB_00214	GCF_000012925.1
GTDB_00215	GCF_000012945.1
GTDB_00216	GCF_000012965.1
GTDB_00217	GCF_000012985.1
GTDB_00218	GCF_000013005.1
GTDB_00219	GCF_000013025.1
GTDB_00220	GCF_000013045.1
GTDB_00221	GCF_000013085.1
GTDB_00222	GCF_000013105.1
GTDB_00223	GCF_000013125.1
GTDB_00224	GCF_000013145.1
GTDB_00225	GCF_000013165.1
GTDB_00226	GCF_000013185.1
GTDB_00227	GCF_000013205.1
GTDB_00228	GCF_000013225.1
GTDB_00229	GCF_000013285.1
GTDB_00230	GCF_000013325.1
GTDB_00231	GCF_000013345.1
GTDB_00232	GCF_000013365.1
GTDB_00233	GCF_000013385.1
GTDB_00234	GCF_000013405.1
GTDB_00235	GCF_000013425.1
GTDB_00236	GCF_000013445.1
GTDB_00237	GCF_000013565.1
GTDB_00238	GCF_000013605.1
GTDB_00239	GCF_000013625.1
GTDB_00240	GCF_000013645.1
GTDB_00241	GCF_000013665.1
GTDB_00242	GCF_000013685.1
GTDB_00243	GCF_000013705.1
GTDB_00244	GCF_000013725.1
GTDB_00245	GCF_000013745.1
GTDB_00246	GCF_000013765.1
GTDB_00247	GCF_000013865.1
GTDB_00248	GCF_000013885.1
GTDB_00249	GCF_000013905.1
GTDB_00250	GCF_000013925.1
GTDB_00251	GCF_000013985.1
GTDB_00252	GCF_000014005.1
GTDB_00253	GCF_000014025.1
GTDB_00254	GCF_000014045.1
GTDB_00255	GCF_000014065.1
GTDB_00256	GCF_000014125.1
GTDB_00257	GCF_000014145.1
GTDB_00258	GCF_000014165.1
GTDB_00259	GCF_000014185.1
GTDB_00260	GCF_000014205.1
GTDB_00261	GCF_000014225.1
GTDB_00262	GCF_000014245.1
GTDB_00263	GCF_000014265.1
GTDB_00264	GCF_000014285.2
GTDB_00265	GCF_000014345.1
GTDB_00266	GCF_000014385.1
GTDB_00267	GCF_000014405.1
GTDB_00268	GCF_000014425.1
GTDB_00269	GCF_000014445.1
GTDB_00270	GCF_000014465.1
GTDB_00271	GCF_000014505.1
GTDB_00272	GCF_000014525.1
GTDB_00273	GCF_000014565.1
GTDB_00274	GCF_000014585.1
GTDB_00275	GCF_000014645.1
GTDB_00276	GCF_000014665.1
GTDB_00277	GCF_000014705.1
GTDB_00278	GCF_000014725.1
GTDB_00279	GCF_000014745.1
GTDB_00280	GCF_000014765.1
GTDB_00281	GCF_000014785.1
GTDB_00282	GCF_000014805.1
GTDB_00283	GCF_000014825.1
GTDB_00284	GCF_000014865.1
GTDB_00285	GCF_000014885.1
GTDB_00286	GCF_000014905.1
GTDB_00287	GCF_000014925.1
GTDB_00288	GCF_000014965.1
GTDB_00289	GCF_000015005.1
GTDB_00290	GCF_000015025.1
GTDB_00291	GCF_000015045.1
GTDB_00292	GCF_000015065.1
GTDB_00293	GCF_000015085.1
GTDB_00294	GCF_000015105.1
GTDB_00295	GCF_000015125.1
GTDB_00296	GCF_000015145.1
GTDB_00297	GCF_000015165.1
GTDB_00298	GCF_000015185.1
GTDB_00299	GCF_000015205.1
GTDB_00300	GCF_000015225.1
GTDB_00301	GCF_000015245.1
GTDB_00302	GCF_000015265.1
GTDB_00303	GCF_000015285.1
GTDB_00304	GCF_000015305.1
GTDB_00305	GCF_000015325.1
