genome_name	ncbi_acc
PRJNA417962_0000	GCA_003506895.1
PRJNA417962_0001	GCA_003485845.1
PRJNA417962_0002	GCA_003487205.1
PRJNA417962_0003	GCA_003499865.1
PRJNA417962_0004	GCA_003497445.1
PRJNA417962_0005	GCA_003518985.1
PRJNA417962_0006	GCA_003518475.1
PRJNA417962_0007	GCA_003512145.1
PRJNA417962_0008	GCA_003511045.1
PRJNA417962_0009	GCA_003509585.1
PRJNA417962_0010	GCA_003537675.1
PRJNA417962_0011	GCA_003524005.1
PRJNA417962_0012	GCA_003524985.1
PRJNA417962_0013	GCA_003531975.1
PRJNA417962_0014	GCA_003539625.1
PRJNA417962_0015	GCA_003477305.1
PRJNA417962_0016	GCA_003476205.1
PRJNA417962_0017	GCA_003454835.1
PRJNA417962_0018	GCA_003505965.1
PRJNA417962_0019	GCA_003540035.1
PRJNA417962_0020	GCA_003531525.1
PRJNA417962_0021	GCA_003512125.1
PRJNA417962_0022	GCA_003486035.1
PRJNA417962_0023	GCA_003482685.1
PRJNA417962_0024	GCA_003530105.1
PRJNA417962_0025	GCA_003450375.1
PRJNA417962_0026	GCA_003447015.1
PRJNA417962_0027	GCA_003445455.1
PRJNA417962_0028	GCA_003444815.1
PRJNA417962_0029	GCA_003444535.1
PRJNA417962_0030	GCA_003476595.1
PRJNA417962_0031	GCA_003456215.1
PRJNA417962_0032	GCA_003455715.1
PRJNA417962_0033	GCA_003457335.1
PRJNA417962_0034	GCA_003457315.1
PRJNA417962_0035	GCA_003457235.1
PRJNA417962_0036	GCA_003453695.1
PRJNA417962_0037	GCA_003452475.1
PRJNA417962_0038	GCA_003485885.1
PRJNA417962_0039	GCA_003486185.1
PRJNA417962_0040	GCA_003486125.1
PRJNA417962_0041	GCA_003485705.1
PRJNA417962_0042	GCA_003485685.1
PRJNA417962_0043	GCA_003485475.1
PRJNA417962_0044	GCA_003485465.1
PRJNA417962_0045	GCA_003487305.1
PRJNA417962_0046	GCA_003489045.1
PRJNA417962_0047	GCA_003513825.1
PRJNA417962_0048	GCA_003512925.1
PRJNA417962_0049	GCA_003509685.1
PRJNA417962_0050	GCA_003510185.1
PRJNA417962_0051	GCA_003509885.1
PRJNA417962_0052	GCA_003519145.1
PRJNA417962_0053	GCA_003519095.1
PRJNA417962_0054	GCA_003514205.1
PRJNA417962_0055	GCA_003504615.1
PRJNA417962_0056	GCA_003506775.1
PRJNA417962_0057	GCA_003507955.1
PRJNA417962_0058	GCA_003530045.1
PRJNA417962_0059	GCA_003529685.1
PRJNA417962_0060	GCA_003523785.1
PRJNA417962_0061	GCA_003522865.1
PRJNA417962_0062	GCA_003542135.1
PRJNA417962_0063	GCA_003541935.1
PRJNA417962_0064	GCA_003541675.1
PRJNA417962_0065	GCA_003520505.1
PRJNA417962_0066	GCA_003535455.1
PRJNA417962_0067	GCA_003451155.1
PRJNA417962_0068	GCA_003533545.1
PRJNA417962_0069	GCA_003530835.1
PRJNA417962_0070	GCA_003523355.1
PRJNA417962_0071	GCA_003504885.1
PRJNA417962_0072	GCA_003517065.1
PRJNA417962_0073	GCA_003509065.1
PRJNA417962_0074	GCA_003485065.1
PRJNA417962_0075	GCA_003453375.1
PRJNA417962_0076	GCA_003476685.1
PRJNA417962_0077	GCA_003543335.1
PRJNA417962_0078	GCA_003534755.1
PRJNA417962_0079	GCA_003540785.1
PRJNA417962_0080	GCA_003446165.1
PRJNA417962_0081	GCA_003523415.1
PRJNA417962_0082	GCA_003484365.1
PRJNA417962_0083	GCA_003452175.1
PRJNA417962_0084	GCA_003519025.1
PRJNA417962_0085	GCA_003517345.1
PRJNA417962_0086	GCA_003482725.1
PRJNA417962_0087	GCA_003485105.1
PRJNA417962_0088	GCA_003453175.1
PRJNA417962_0089	GCA_003525285.1
PRJNA417962_0090	GCA_003529265.1
PRJNA417962_0091	GCA_003542915.1
PRJNA417962_0092	GCA_003444975.1
PRJNA417962_0093	GCA_003450325.1
PRJNA417962_0094	GCA_003542735.1
PRJNA417962_0095	GCA_003512015.1
PRJNA417962_0096	GCA_003499805.1
PRJNA417962_0097	GCA_003452075.1
PRJNA417962_0098	GCA_003452335.1
PRJNA417962_0099	GCA_003529755.1
PRJNA417962_0100	GCA_003527345.1
PRJNA417962_0101	GCA_003448515.1
PRJNA417962_0102	GCA_003444015.1
PRJNA417962_0103	GCA_003527545.1
PRJNA417962_0104	GCA_003532095.1
PRJNA417962_0105	GCA_003513605.1
PRJNA417962_0106	GCA_003444855.1
PRJNA417962_0107	GCA_003526865.1
PRJNA417962_0108	GCA_003526225.1
PRJNA417962_0109	GCA_003451815.1
PRJNA417962_0110	GCA_003451375.1
PRJNA417962_0111	GCA_003525535.1
PRJNA417962_0112	GCA_003522005.1
PRJNA417962_0113	GCA_003529305.1
PRJNA417962_0114	GCA_003531005.1
PRJNA417962_0115	GCA_003535035.1
PRJNA417962_0116	GCA_003537075.1
PRJNA417962_0117	GCA_003541285.1
PRJNA417962_0118	GCA_003513325.1
PRJNA417962_0119	GCA_003500965.1
PRJNA417962_0120	GCA_003506715.1
PRJNA417962_0121	GCA_003506065.1
PRJNA417962_0122	GCA_003486285.1
PRJNA417962_0123	GCA_003486795.1
PRJNA417962_0124	GCA_003491635.1
PRJNA417962_0125	GCA_003452655.1
PRJNA417962_0126	GCA_003453495.1
PRJNA417962_0127	GCA_003456155.1
PRJNA417962_0128	GCA_003476305.1
PRJNA417962_0129	GCA_003533245.1
PRJNA417962_0130	GCA_003504555.1
PRJNA417962_0131	GCA_003487925.1
PRJNA417962_0132	GCA_003484345.1
PRJNA417962_0133	GCA_003521095.1
PRJNA417962_0134	GCA_003542755.1
PRJNA417962_0135	GCA_003483825.1
PRJNA417962_0136	GCA_003505635.1
PRJNA417962_0137	GCA_003522325.1
PRJNA417962_0138	GCA_003501325.1
PRJNA417962_0139	GCA_003477025.1
PRJNA417962_0140	GCA_003455135.1
PRJNA417962_0141	GCA_003455115.1
PRJNA417962_0142	GCA_003456375.1
PRJNA417962_0143	GCA_003529405.1
PRJNA417962_0144	GCA_003539805.1
PRJNA417962_0145	GCA_003541435.1
PRJNA417962_0146	GCA_003529865.1
PRJNA417962_0147	GCA_003517425.1
PRJNA417962_0148	GCA_003509855.1
PRJNA417962_0149	GCA_003485305.1
PRJNA417962_0150	GCA_003514565.1
PRJNA417962_0151	GCA_003497705.1
PRJNA417962_0152	GCA_003503595.1
PRJNA417962_0153	GCA_003508065.1
PRJNA417962_0154	GCA_003529345.1
PRJNA417962_0155	GCA_003507735.1
PRJNA417962_0156	GCA_003507095.1
PRJNA417962_0157	GCA_003511485.1
PRJNA417962_0158	GCA_003521065.1
PRJNA417962_0159	GCA_003445335.1
PRJNA417962_0160	GCA_003445075.1
PRJNA417962_0161	GCA_003451535.1
PRJNA417962_0162	GCA_003451315.1
PRJNA417962_0163	GCA_003449555.1
PRJNA417962_0164	GCA_003449375.1
PRJNA417962_0165	GCA_003447435.1
PRJNA417962_0166	GCA_003447285.1
PRJNA417962_0167	GCA_003522655.1
PRJNA417962_0168	GCA_003525745.1
PRJNA417962_0169	GCA_003526285.1
PRJNA417962_0170	GCA_003524555.1
PRJNA417962_0171	GCA_003523405.1
PRJNA417962_0172	GCA_003529105.1
PRJNA417962_0173	GCA_003526905.1
PRJNA417962_0174	GCA_003527005.1
PRJNA417962_0175	GCA_003528825.1
PRJNA417962_0176	GCA_003528485.1
PRJNA417962_0177	GCA_003511725.1
PRJNA417962_0178	GCA_003510645.1
PRJNA417962_0179	GCA_003509665.1
PRJNA417962_0180	GCA_003514145.1
PRJNA417962_0181	GCA_003517605.1
PRJNA417962_0182	GCA_003516625.1
PRJNA417962_0183	GCA_003504525.1
PRJNA417962_0184	GCA_003504415.1
PRJNA417962_0185	GCA_003484105.1
PRJNA417962_0186	GCA_003483985.1
PRJNA417962_0187	GCA_003489355.1
PRJNA417962_0188	GCA_003452775.1
PRJNA417962_0189	GCA_003476245.1
PRJNA417962_0190	GCA_003448455.1
PRJNA417962_0191	GCA_003449895.1
PRJNA417962_0192	GCA_003522525.1
PRJNA417962_0193	GCA_003519405.1
PRJNA417962_0194	GCA_003539145.1
PRJNA417962_0195	GCA_003482985.1
PRJNA417962_0196	GCA_003485565.1
PRJNA417962_0197	GCA_003517225.1
PRJNA417962_0198	GCA_003545015.1
PRJNA417962_0199	GCA_003523245.1
PRJNA417962_0200	GCA_003541835.1
PRJNA417962_0201	GCA_003545315.1
