genome_name	ncbi_acc
PRJNA445865_0000	GCA_003215175.1
PRJNA445865_0001	GCA_003215075.1
PRJNA445865_0002	GCA_003214465.1
PRJNA445865_0003	GCA_003281865.1
PRJNA445865_0004	GCA_003278145.1
PRJNA445865_0005	GCA_003279705.1
PRJNA445865_0006	GCA_003209955.1
PRJNA445865_0007	GCA_003212795.1
PRJNA445865_0008	GCA_003282445.1
PRJNA445865_0009	GCA_003281085.1
PRJNA445865_0010	GCA_003214595.1
PRJNA445865_0011	GCA_003214435.1
PRJNA445865_0012	GCA_003213625.1
PRJNA445865_0013	GCA_003213435.1
PRJNA445865_0014	GCA_003213165.1
PRJNA445865_0015	GCA_003212995.1
PRJNA445865_0016	GCA_003212965.1
PRJNA445865_0017	GCA_003284275.1
PRJNA445865_0018	GCA_003283905.1
PRJNA445865_0019	GCA_003283045.1
PRJNA445865_0020	GCA_003283025.1
PRJNA445865_0021	GCA_003282975.1
PRJNA445865_0022	GCA_003282985.1
PRJNA445865_0023	GCA_003282965.1
PRJNA445865_0024	GCA_003282945.1
PRJNA445865_0025	GCA_003282905.1
PRJNA445865_0026	GCA_003282895.1
PRJNA445865_0027	GCA_003282835.1
PRJNA445865_0028	GCA_003282825.1
PRJNA445865_0029	GCA_003282485.1
PRJNA445865_0030	GCA_003282205.1
PRJNA445865_0031	GCA_003282175.1
PRJNA445865_0032	GCA_003282155.1
PRJNA445865_0033	GCA_003282085.1
PRJNA445865_0034	GCA_003282055.1
PRJNA445865_0035	GCA_003281805.1
PRJNA445865_0036	GCA_003281795.1
PRJNA445865_0037	GCA_003279165.1
PRJNA445865_0038	GCA_003281725.1
PRJNA445865_0039	GCA_003281095.1
PRJNA445865_0040	GCA_003281065.1
PRJNA445865_0041	GCA_003278805.1
PRJNA445865_0042	GCA_003281045.1
PRJNA445865_0043	GCA_003281005.1
PRJNA445865_0044	GCA_003280495.1
PRJNA445865_0045	GCA_003280485.1
PRJNA445865_0046	GCA_003280005.1
PRJNA445865_0047	GCA_003280015.1
PRJNA445865_0048	GCA_003279985.1
PRJNA445865_0049	GCA_003278165.1
PRJNA445865_0050	GCA_003279775.1
PRJNA445865_0051	GCA_003278125.1
PRJNA445865_0052	GCA_003279715.1
PRJNA445865_0053	GCA_003279685.1
PRJNA445865_0054	GCA_003279765.1
PRJNA445865_0055	GCA_003278065.1
PRJNA445865_0056	GCA_003216255.1
PRJNA445865_0057	GCA_003216235.1
PRJNA445865_0058	GCA_003216195.1
PRJNA445865_0059	GCA_003215235.1
PRJNA445865_0060	GCA_003215185.1
PRJNA445865_0061	GCA_003215115.1
PRJNA445865_0062	GCA_003215055.1
PRJNA445865_0063	GCA_003214635.1
PRJNA445865_0064	GCA_003214615.1
PRJNA445865_0065	GCA_003214555.1
PRJNA445865_0066	GCA_003214525.1
PRJNA445865_0067	GCA_003214455.1
PRJNA445865_0068	GCA_003213715.1
PRJNA445865_0069	GCA_003213695.1
PRJNA445865_0070	GCA_003213615.1
PRJNA445865_0071	GCA_003213555.1
PRJNA445865_0072	GCA_003213535.1
PRJNA445865_0073	GCA_003213515.1
PRJNA445865_0074	GCA_003213215.1
PRJNA445865_0075	GCA_003210095.1
PRJNA445865_0076	GCA_003213155.1
PRJNA445865_0077	GCA_003210075.1
PRJNA445865_0078	GCA_003213135.1
PRJNA445865_0079	GCA_003213115.1
PRJNA445865_0080	GCA_003210025.1
PRJNA445865_0081	GCA_003210015.1
PRJNA445865_0082	GCA_003209915.1
PRJNA445865_0083	GCA_003213015.1
PRJNA445865_0084	GCA_003209895.1
PRJNA445865_0085	GCA_003209875.1
PRJNA445865_0086	GCA_003212925.1
PRJNA445865_0087	GCA_003212815.1
PRJNA445865_0088	GCA_003212775.1
PRJNA445865_0089	GCA_003212415.1
PRJNA445865_0090	GCA_003212295.1
PRJNA445865_0091	GCA_003212275.1
PRJNA445865_0092	GCA_003209635.1
PRJNA445865_0093	GCA_003211835.1
PRJNA445865_0094	GCA_003209225.1
PRJNA445865_0095	GCA_003211695.1
PRJNA445865_0096	GCA_003209195.1
PRJNA445865_0097	GCA_003211595.1
PRJNA445865_0098	GCA_003211555.1
PRJNA445865_0099	GCA_003284445.1
PRJNA445865_0100	GCA_003283835.1
PRJNA445865_0101	GCA_003284435.1
PRJNA445865_0102	GCA_003284425.1
PRJNA445865_0103	GCA_003284375.1
PRJNA445865_0104	GCA_003283825.1
PRJNA445865_0105	GCA_003283785.1
PRJNA445865_0106	GCA_003284345.1
PRJNA445865_0107	GCA_003283775.1
PRJNA445865_0108	GCA_003284355.1
PRJNA445865_0109	GCA_003284365.1
PRJNA445865_0110	GCA_003284315.1
PRJNA445865_0111	GCA_003284285.1
PRJNA445865_0112	GCA_003284205.1
PRJNA445865_0113	GCA_003283745.1
PRJNA445865_0114	GCA_003284185.1
PRJNA445865_0115	GCA_003283695.1
PRJNA445865_0116	GCA_003283685.1
PRJNA445865_0117	GCA_003283675.1
PRJNA445865_0118	GCA_003283665.1
PRJNA445865_0119	GCA_003283635.1
PRJNA445865_0120	GCA_003284145.1
PRJNA445865_0121	GCA_003283615.1
PRJNA445865_0122	GCA_003284115.1
PRJNA445865_0123	GCA_003284125.1
PRJNA445865_0124	GCA_003284105.1
PRJNA445865_0125	GCA_003283595.1
PRJNA445865_0126	GCA_003284055.1
PRJNA445865_0127	GCA_003284035.1
PRJNA445865_0128	GCA_003283545.1
PRJNA445865_0129	GCA_003283525.1
PRJNA445865_0130	GCA_003283965.1
PRJNA445865_0131	GCA_003283955.1
PRJNA445865_0132	GCA_003283945.1
PRJNA445865_0133	GCA_003283475.1
PRJNA445865_0134	GCA_003283465.1
PRJNA445865_0135	GCA_003283445.1
PRJNA445865_0136	GCA_003283415.1
