genome_name	ncbi_acc
PRJNA351262_0000	GCA_003021645.1
PRJNA351262_0001	GCA_003021615.1
PRJNA351262_0002	GCA_003023125.1
PRJNA351262_0003	GCA_003023105.1
PRJNA351262_0004	GCA_003022705.1
PRJNA351262_0005	GCA_003022655.1
PRJNA351262_0006	GCA_003022645.1
PRJNA351262_0007	GCA_003023145.1
PRJNA351262_0008	GCA_003023085.1
PRJNA351262_0009	GCA_003023385.1
PRJNA351262_0010	GCA_003022615.1
PRJNA351262_0011	GCA_003023065.1
PRJNA351262_0012	GCA_003023365.1
PRJNA351262_0013	GCA_003023045.1
PRJNA351262_0014	GCA_003022975.1
PRJNA351262_0015	GCA_003023345.1
PRJNA351262_0016	GCA_003022605.1
PRJNA351262_0017	GCA_003023025.1
PRJNA351262_0018	GCA_003023315.1
PRJNA351262_0019	GCA_003022565.1
PRJNA351262_0020	GCA_003023265.1
PRJNA351262_0021	GCA_003022585.1
PRJNA351262_0022	GCA_003022505.1
PRJNA351262_0023	GCA_003023245.1
PRJNA351262_0024	GCA_003022485.1
PRJNA351262_0025	GCA_003022535.1
PRJNA351262_0026	GCA_003022515.1
PRJNA351262_0027	GCA_003022985.1
PRJNA351262_0028	GCA_003023295.1
PRJNA351262_0029	GCA_003023275.1
PRJNA351262_0030	GCA_003022965.1
PRJNA351262_0031	GCA_003022465.1
PRJNA351262_0032	GCA_003022435.1
PRJNA351262_0033	GCA_003022365.1
PRJNA351262_0034	GCA_003021965.1
PRJNA351262_0035	GCA_003022325.1
PRJNA351262_0036	GCA_003021585.1
PRJNA351262_0037	GCA_003021605.1
PRJNA351262_0038	GCA_003021545.1
PRJNA351262_0039	GCA_003021535.1
PRJNA351262_0040	GCA_003022265.1
PRJNA351262_0041	GCA_003022245.1
PRJNA351262_0042	GCA_003021525.1
PRJNA351262_0043	GCA_003021925.1
PRJNA351262_0044	GCA_003022225.1
PRJNA351262_0045	GCA_003021885.1
PRJNA351262_0046	GCA_003021505.1
PRJNA351262_0047	GCA_003022205.1
PRJNA351262_0048	GCA_003021485.1
PRJNA351262_0049	GCA_003021855.1
PRJNA351262_0050	GCA_003022145.1
PRJNA351262_0051	GCA_003022125.1
PRJNA351262_0052	GCA_003021465.1
PRJNA351262_0053	GCA_003022175.1
PRJNA351262_0054	GCA_003021435.1
PRJNA351262_0055	GCA_003021425.1
PRJNA351262_0056	GCA_003022095.1
PRJNA351262_0057	GCA_003021405.1
PRJNA351262_0058	GCA_003021845.1
PRJNA351262_0059	GCA_003022165.1
PRJNA351262_0060	GCA_003021825.1
PRJNA351262_0061	GCA_003021905.1
PRJNA351262_0062	GCA_003021375.1
PRJNA351262_0063	GCA_003022085.1
PRJNA351262_0064	GCA_003021335.1
PRJNA351262_0065	GCA_003021305.1
PRJNA351262_0066	GCA_003021325.1
PRJNA351262_0067	GCA_003021365.1
PRJNA351262_0068	GCA_003021285.1
PRJNA351262_0069	GCA_003021245.1
PRJNA351262_0070	GCA_003021225.1
PRJNA351262_0071	GCA_003021235.1
PRJNA351262_0072	GCA_003021205.1
PRJNA351262_0073	GCA_003021795.1
PRJNA351262_0074	GCA_003021785.1
PRJNA351262_0075	GCA_003021175.1
PRJNA351262_0076	GCA_003021165.1
PRJNA351262_0077	GCA_003021115.1
PRJNA351262_0078	GCA_003021745.1
PRJNA351262_0079	GCA_003021725.1
PRJNA351262_0080	GCA_003022045.1
PRJNA351262_0081	GCA_003021755.1
PRJNA351262_0082	GCA_003022055.1
PRJNA351262_0083	GCA_003021145.1
PRJNA351262_0084	GCA_003022025.1
PRJNA351262_0085	GCA_003021105.1
PRJNA351262_0086	GCA_003021085.1
PRJNA351262_0087	GCA_003021055.1
PRJNA351262_0088	GCA_003021005.1
PRJNA351262_0089	GCA_003021705.1
PRJNA351262_0090	GCA_003021685.1
PRJNA351262_0091	GCA_003021015.1
PRJNA351262_0092	GCA_003020965.1
PRJNA351262_0093	GCA_003021655.1
PRJNA351262_0094	GCA_003021045.1
PRJNA351262_0095	GCA_003020985.1
PRJNA351262_0096	GCA_003023785.1
PRJNA351262_0097	GCA_003022005.1
PRJNA351262_0098	GCA_003021975.1
PRJNA351262_0099	GCA_003020925.1
PRJNA351262_0100	GCA_003020945.1
PRJNA351262_0101	GCA_003023525.1
PRJNA351262_0102	GCA_003023575.1
PRJNA351262_0103	GCA_003022925.1
PRJNA351262_0104	GCA_003023195.1
PRJNA351262_0105	GCA_003022945.1
PRJNA351262_0106	GCA_003023165.1
PRJNA351262_0107	GCA_003023185.1
PRJNA351262_0108	GCA_003023565.1
PRJNA351262_0109	GCA_003022905.1
PRJNA351262_0110	GCA_003023535.1
PRJNA351262_0111	GCA_003022845.1
PRJNA351262_0112	GCA_003023485.1
PRJNA351262_0113	GCA_003023445.1
PRJNA351262_0114	GCA_003023455.1
PRJNA351262_0115	GCA_003022885.1
PRJNA351262_0116	GCA_003022815.1
PRJNA351262_0117	GCA_003022865.1
PRJNA351262_0118	GCA_003023465.1
PRJNA351262_0119	GCA_003023215.1
PRJNA351262_0120	GCA_003022725.1
PRJNA351262_0121	GCA_003022785.1
PRJNA351262_0122	GCA_003022805.1
PRJNA351262_0123	GCA_003022765.1
PRJNA351262_0124	GCA_003023415.1
PRJNA351262_0125	GCA_003023405.1
PRJNA351262_0126	GCA_003022685.1
PRJNA351262_0127	GCA_003022745.1
PRJNA351262_0128	GCA_003009845.1
PRJNA351262_0129	GCA_003009825.1
PRJNA351262_0130	GCA_003009815.1
PRJNA351262_0131	GCA_003009795.1
PRJNA351262_0132	GCA_003009775.1
PRJNA351262_0133	GCA_003022345.1
PRJNA351262_0134	GCA_003022305.1
PRJNA351262_0135	GCA_003021915.1
PRJNA351262_0136	GCA_003022255.1
PRJNA351262_0137	GCA_003022425.1
PRJNA351262_0138	GCA_003009755.1
