genome_name	ncbi_acc
PRJEB21624_0151	GCA_900313345.1
PRJEB21624_0152	GCA_900313475.1
PRJEB21624_0153	GCA_900313135.1
PRJEB21624_0154	GCA_900313125.1
PRJEB21624_0155	GCA_900313255.1
PRJEB21624_0156	GCA_900314355.1
PRJEB21624_0157	GCA_900314185.1
PRJEB21624_0158	GCA_900314135.1
PRJEB21624_0159	GCA_900313895.1
PRJEB21624_0160	GCA_900314015.1
PRJEB21624_0161	GCA_900314005.1
PRJEB21624_0162	GCA_900313865.1
PRJEB21624_0163	GCA_900313855.1
PRJEB21624_0164	GCA_900313885.1
PRJEB21624_0165	GCA_900313925.1
PRJEB21624_0166	GCA_900313815.1
PRJEB21624_0167	GCA_900313775.1
PRJEB21624_0168	GCA_900313765.1
PRJEB21624_0169	GCA_900313735.1
PRJEB21624_0170	GCA_900313695.1
PRJEB21624_0171	GCA_900313625.1
PRJEB21624_0172	GCA_900315285.1
PRJEB21624_0173	GCA_900315315.1
PRJEB21624_0174	GCA_900315235.1
PRJEB21624_0175	GCA_900315255.1
PRJEB21624_0176	GCA_900315275.1
PRJEB21624_0177	GCA_900315265.1
PRJEB21624_0178	GCA_900315195.1
PRJEB21624_0179	GCA_900315305.1
PRJEB21624_0180	GCA_900315425.1
PRJEB21624_0181	GCA_900315485.1
PRJEB21624_0182	GCA_900315465.1
PRJEB21624_0183	GCA_900315475.1
PRJEB21624_0184	GCA_900315675.1
PRJEB21624_0185	GCA_900315665.1
PRJEB21624_0186	GCA_900315645.1
PRJEB21624_0187	GCA_900315625.1
PRJEB21624_0188	GCA_900315605.1
PRJEB21624_0189	GCA_900315595.1
PRJEB21624_0190	GCA_900315585.1
PRJEB21624_0191	GCA_900315555.1
PRJEB21624_0192	GCA_900314705.1
PRJEB21624_0193	GCA_900314735.1
PRJEB21624_0194	GCA_900314745.1
PRJEB21624_0195	GCA_900314565.1
PRJEB21624_0196	GCA_900314555.1
PRJEB21624_0197	GCA_900314525.1
PRJEB21624_0198	GCA_900314485.1
PRJEB21624_0199	GCA_900314845.1
PRJEB21624_0200	GCA_900314885.1
PRJEB21624_0201	GCA_900314835.1
PRJEB21624_0202	GCA_900314795.1
PRJEB21624_0203	GCA_900314775.1
PRJEB21624_0204	GCA_900315125.1
PRJEB21624_0205	GCA_900315085.1
PRJEB21624_0206	GCA_900315015.1
PRJEB21624_0207	GCA_900314975.1
PRJEB21624_0208	GCA_900316255.1
PRJEB21624_0209	GCA_900316345.1
PRJEB21624_0210	GCA_900316335.1
PRJEB21624_0211	GCA_900316205.1
PRJEB21624_0212	GCA_900316145.1
PRJEB21624_0213	GCA_900316025.1
PRJEB21624_0214	GCA_900316065.1
PRJEB21624_0215	GCA_900316085.1
PRJEB21624_0216	GCA_900316115.1
PRJEB21624_0217	GCA_900316035.1
PRJEB21624_0218	GCA_900315985.1
PRJEB21624_0219	GCA_900315965.1
PRJEB21624_0220	GCA_900315995.1
PRJEB21624_0221	GCA_900315895.1
PRJEB21624_0222	GCA_900315855.1
PRJEB21624_0223	GCA_900315815.1
PRJEB21624_0224	GCA_900315875.1
PRJEB21624_0225	GCA_900315905.1
PRJEB21624_0226	GCA_900315715.1
PRJEB21624_0227	GCA_900315785.1
PRJEB21624_0228	GCA_900317905.1
PRJEB21624_0229	GCA_900317965.1
PRJEB21624_0230	GCA_900317875.1
PRJEB21624_0231	GCA_900317855.1
PRJEB21624_0232	GCA_900317765.1
PRJEB21624_0233	GCA_900317795.1
PRJEB21624_0234	GCA_900317815.1
PRJEB21624_0235	GCA_900317675.1
PRJEB21624_0236	GCA_900317735.1
PRJEB21624_0237	GCA_900317605.1
PRJEB21624_0238	GCA_900317705.1
PRJEB21624_0239	GCA_900317525.1
PRJEB21624_0240	GCA_900317515.1
PRJEB21624_0241	GCA_900317595.1
PRJEB21624_0242	GCA_900317445.1
PRJEB21624_0243	GCA_900317425.1
PRJEB21624_0244	GCA_900317395.1
PRJEB21624_0245	GCA_900317415.1
PRJEB21624_0246	GCA_900317385.1
PRJEB21624_0247	GCA_900317375.1
PRJEB21624_0248	GCA_900317315.1
PRJEB21624_0249	GCA_900317225.1
PRJEB21624_0250	GCA_900317205.1
PRJEB21624_0251	GCA_900317265.1
PRJEB21624_0252	GCA_900317175.1
PRJEB21624_0253	GCA_900317215.1
PRJEB21624_0254	GCA_900317085.1
PRJEB21624_0255	GCA_900317135.1
PRJEB21624_0256	GCA_900317095.1
PRJEB21624_0257	GCA_900317045.1
PRJEB21624_0258	GCA_900317035.1
PRJEB21624_0259	GCA_900319795.1
PRJEB21624_0260	GCA_900316925.1
PRJEB21624_0261	GCA_900317005.1
PRJEB21624_0262	GCA_900317025.1
PRJEB21624_0263	GCA_900316915.1
PRJEB21624_0264	GCA_900316885.1
PRJEB21624_0265	GCA_900316815.1
PRJEB21624_0266	GCA_900316755.1
PRJEB21624_0267	GCA_900316715.1
PRJEB21624_0268	GCA_900316745.1
PRJEB21624_0269	GCA_900316725.1
PRJEB21624_0270	GCA_900316705.1
PRJEB21624_0271	GCA_900316695.1
PRJEB21624_0272	GCA_900316655.1
PRJEB21624_0273	GCA_900316615.1
PRJEB21624_0274	GCA_900316605.1
PRJEB21624_0275	GCA_900316535.1
PRJEB21624_0276	GCA_900316555.1
PRJEB21624_0277	GCA_900316415.1
PRJEB21624_0278	GCA_900316495.1
PRJEB21624_0279	GCA_900316435.1
PRJEB21624_0280	GCA_900316455.1
PRJEB21624_0281	GCA_900316385.1
PRJEB21624_0282	GCA_900316485.1
PRJEB21624_0283	GCA_900321645.1
PRJEB21624_0284	GCA_900321595.1
PRJEB21624_0285	GCA_900321685.1
PRJEB21624_0286	GCA_900321625.1
PRJEB21624_0287	GCA_900319775.1
PRJEB21624_0288	GCA_900319955.1
PRJEB21624_0289	GCA_900319835.1
PRJEB21624_0290	GCA_900319785.1
PRJEB21624_0291	GCA_900319745.1
PRJEB21624_0292	GCA_900319725.1
PRJEB21624_0293	GCA_900319655.1
PRJEB21624_0294	GCA_900319695.1
PRJEB21624_0295	GCA_900319615.1
PRJEB21624_0296	GCA_900319665.1
PRJEB21624_0297	GCA_900319765.1
PRJEB21624_0298	GCA_900319565.1
PRJEB21624_0299	GCA_900319635.1
PRJEB21624_0300	GCA_900319465.1
PRJEB21624_0301	GCA_900319515.1
PRJEB21624_0302	GCA_900319455.1
PRJEB21624_0303	GCA_900319355.1
PRJEB21624_0304	GCA_900319285.1
PRJEB21624_0305	GCA_900319255.1
PRJEB21624_0306	GCA_900318765.1
PRJEB21624_0307	GCA_900318695.1
PRJEB21624_0308	GCA_900318615.1
PRJEB21624_0309	GCA_900318635.1
PRJEB21624_0310	GCA_900318515.1
PRJEB21624_0311	GCA_900318485.1
PRJEB21624_0312	GCA_900318435.1
PRJEB21624_0313	GCA_900318495.1
PRJEB21624_0314	GCA_900318545.1
