genome_name	ncbi_acc
PRJNA348753_0000	GCA_002409655.1
PRJNA348753_0001	GCA_002409495.1
PRJNA348753_0002	GCA_002409645.1
PRJNA348753_0003	GCA_002418125.1
PRJNA348753_0004	GCA_002418025.1
PRJNA348753_0005	GCA_002422345.1
PRJNA348753_0006	GCA_002425745.1
PRJNA348753_0007	GCA_002435675.1
PRJNA348753_0008	GCA_002452525.1
PRJNA348753_0009	GCA_002328705.1
PRJNA348753_0010	GCA_002376485.1
PRJNA348753_0011	GCA_002376125.1
PRJNA348753_0012	GCA_002376085.1
PRJNA348753_0013	GCA_002376075.1
PRJNA348753_0014	GCA_002375995.1
PRJNA348753_0015	GCA_002375935.1
PRJNA348753_0016	GCA_002403185.1
PRJNA348753_0017	GCA_002402715.1
PRJNA348753_0018	GCA_002479455.1
PRJNA348753_0019	GCA_002345705.1
PRJNA348753_0020	GCA_002399815.1
PRJNA348753_0021	GCA_002399485.1
PRJNA348753_0022	GCA_002398145.1
PRJNA348753_0023	GCA_002397505.1
PRJNA348753_0024	GCA_002398445.1
PRJNA348753_0025	GCA_002412315.1
PRJNA348753_0026	GCA_002408805.1
PRJNA348753_0027	GCA_002411585.1
PRJNA348753_0028	GCA_002408505.1
PRJNA348753_0029	GCA_002407985.1
PRJNA348753_0030	GCA_002410795.1
PRJNA348753_0031	GCA_002410615.1
PRJNA348753_0032	GCA_002426705.1
PRJNA348753_0033	GCA_002427375.1
PRJNA348753_0034	GCA_002427245.1
PRJNA348753_0035	GCA_002427085.1
PRJNA348753_0036	GCA_002424575.1
PRJNA348753_0037	GCA_002421365.1
PRJNA348753_0038	GCA_002418725.1
PRJNA348753_0039	GCA_002423145.1
PRJNA348753_0040	GCA_002422135.1
PRJNA348753_0041	GCA_002422045.1
PRJNA348753_0042	GCA_002441525.1
PRJNA348753_0043	GCA_002483695.1
PRJNA348753_0044	GCA_002338195.1
PRJNA348753_0045	GCA_002311015.1
PRJNA348753_0046	GCA_002322215.1
PRJNA348753_0047	GCA_002331005.1
PRJNA348753_0048	GCA_002388205.1
PRJNA348753_0049	GCA_002418565.1
PRJNA348753_0050	GCA_002429885.1
PRJNA348753_0051	GCA_002453655.1
PRJNA348753_0052	GCA_002479575.1
PRJNA348753_0053	GCA_002294075.1
PRJNA348753_0054	GCA_002342505.1
PRJNA348753_0055	GCA_002351665.1
PRJNA348753_0056	GCA_002351325.1
PRJNA348753_0057	GCA_002350365.1
PRJNA348753_0058	GCA_002481665.1
PRJNA348753_0059	GCA_002481445.1
PRJNA348753_0060	GCA_002320055.1
PRJNA348753_0061	GCA_002353655.1
PRJNA348753_0062	GCA_002349505.1
