genome_name	ncbi_acc
PRJNA392119_0000	GCA_003697135.1
PRJNA392119_0001	GCA_003697015.1
PRJNA392119_0002	GCA_003696865.1
PRJNA392119_0003	GCA_003696155.1
PRJNA392119_0004	GCA_003696075.1
PRJNA392119_0005	GCA_003695645.1
PRJNA392119_0006	GCA_003695625.1
PRJNA392119_0007	GCA_003697065.1
PRJNA392119_0008	GCA_003694835.1
PRJNA392119_0009	GCA_003694465.1
PRJNA392119_0010	GCA_003694205.1
PRJNA392119_0011	GCA_003694165.1
PRJNA392119_0012	GCA_003693905.1
PRJNA392119_0013	GCA_003693805.1
PRJNA392119_0014	GCA_003697125.1
PRJNA392119_0015	GCA_003696705.1
PRJNA392119_0016	GCA_003695555.1
PRJNA392119_0017	GCA_003694925.1
PRJNA392119_0018	GCA_003695135.1
PRJNA392119_0019	GCA_003695065.1
PRJNA392119_0020	GCA_003696035.1
PRJNA392119_0021	GCA_003130835.1
PRJNA392119_0022	GCA_003130845.1
PRJNA392119_0023	GCA_003694975.1
PRJNA392119_0024	GCA_003695165.1
PRJNA392119_0025	GCA_003694235.1
PRJNA392119_0026	GCA_003694665.1
PRJNA392119_0027	GCA_003693765.1
PRJNA392119_0028	GCA_003693865.1
PRJNA392119_0029	GCA_003697005.1
PRJNA392119_0030	GCA_003130875.1
PRJNA392119_0031	GCA_003694685.1
PRJNA392119_0032	GCA_003695835.1
PRJNA392119_0033	GCA_003695875.1
PRJNA392119_0034	GCA_002254585.1
PRJNA392119_0035	GCA_002254605.1
PRJNA392119_0036	GCA_003694045.1
PRJNA392119_0037	GCA_003694295.1
PRJNA392119_0038	GCA_003695465.1
PRJNA392119_0039	GCA_003695425.1
PRJNA392119_0040	GCA_003696175.1
PRJNA392119_0041	GCA_003695295.1
PRJNA392119_0042	GCA_003694615.1
PRJNA392119_0043	GCA_003695245.1
PRJNA392119_0044	GCA_003696835.1
PRJNA392119_0045	GCA_003696875.1
PRJNA392119_0046	GCA_003696585.1
PRJNA392119_0047	GCA_003696485.1
PRJNA392119_0048	GCA_003694355.1
PRJNA392119_0049	GCA_003694905.1
PRJNA392119_0050	GCA_003694735.1
PRJNA392119_0051	GCA_003695385.1
PRJNA392119_0052	GCA_003697425.1
PRJNA392119_0053	GCA_003695345.1
PRJNA392119_0054	GCA_003695285.1
PRJNA392119_0055	GCA_003695965.1
PRJNA392119_0056	GCA_003696445.1
PRJNA392119_0057	GCA_003696775.1
PRJNA392119_0058	GCA_003694105.1
PRJNA392119_0059	GCA_003694115.1
PRJNA392119_0060	GCA_003696425.1
PRJNA392119_0061	GCA_003696525.1
PRJNA392119_0062	GCA_003695505.1
PRJNA392119_0063	GCA_003695355.1
PRJNA392119_0064	GCA_003694225.1
PRJNA392119_0065	GCA_003694065.1
PRJNA392119_0066	GCA_003694175.1
PRJNA392119_0067	GCA_003695005.1
PRJNA392119_0068	GCA_003696745.1
PRJNA392119_0069	GCA_003697085.1
PRJNA392119_0070	GCA_003695105.1
PRJNA392119_0071	GCA_003694055.1
PRJNA392119_0072	GCA_003693875.1
