genome_name	ncbi_acc
PRJNA273161_0000	GCA_000991925.1
PRJNA273161_0001	GCA_000993245.1
PRJNA273161_0002	GCA_000991185.1
PRJNA273161_0003	GCA_000993135.1
PRJNA273161_0004	GCA_001002835.1
PRJNA273161_0005	GCA_000992805.1
PRJNA273161_0006	GCA_001029735.1
PRJNA273161_0007	GCA_001004665.1
PRJNA273161_0008	GCA_001004725.1
PRJNA273161_0009	GCA_001004755.1
PRJNA273161_0010	GCA_001004205.1
PRJNA273161_0011	GCA_000998545.1
PRJNA273161_0012	GCA_001002655.1
PRJNA273161_0013	GCA_001001005.1
PRJNA273161_0014	GCA_001002405.1
PRJNA273161_0015	GCA_001003675.1
PRJNA273161_0016	GCA_000997915.1
PRJNA273161_0017	GCA_001003155.1
PRJNA273161_0018	GCA_001001455.1
PRJNA273161_0019	GCA_001000075.1
PRJNA273161_0020	GCA_001002325.1
PRJNA273161_0021	GCA_000999805.1
PRJNA273161_0022	GCA_001003585.1
PRJNA273161_0023	GCA_001002525.1
PRJNA273161_0024	GCA_001001375.1
PRJNA273161_0025	GCA_001003465.1
PRJNA273161_0026	GCA_001001555.1
PRJNA273161_0027	GCA_001003245.1
PRJNA273161_0028	GCA_000998395.1
PRJNA273161_0029	GCA_000997715.1
PRJNA273161_0030	GCA_000993265.1
PRJNA273161_0031	GCA_000996285.1
PRJNA273161_0032	GCA_000994805.1
PRJNA273161_0033	GCA_001002125.1
PRJNA273161_0034	GCA_000998315.1
PRJNA273161_0035	GCA_000996375.1
PRJNA273161_0036	GCA_001002515.1
PRJNA273161_0037	GCA_001002685.1
PRJNA273161_0038	GCA_001002245.1
PRJNA273161_0039	GCA_000999665.1
PRJNA273161_0040	GCA_001001895.1
PRJNA273161_0041	GCA_000999325.1
PRJNA273161_0042	GCA_001002715.1
PRJNA273161_0043	GCA_000995795.1
PRJNA273161_0044	GCA_001002725.1
PRJNA273161_0045	GCA_000996315.1
PRJNA273161_0046	GCA_000998505.1
PRJNA273161_0047	GCA_001002645.1
PRJNA273161_0048	GCA_001002615.1
PRJNA273161_0049	GCA_000995585.1
PRJNA273161_0050	GCA_001001885.1
PRJNA273161_0051	GCA_001001955.1
PRJNA273161_0052	GCA_001029675.1
PRJNA273161_0053	GCA_001003335.1
PRJNA273161_0054	GCA_001003755.1
PRJNA273161_0055	GCA_000990745.1
PRJNA273161_0056	GCA_000990755.1
PRJNA273161_0057	GCA_000990865.1
PRJNA273161_0058	GCA_000990765.1
PRJNA273161_0059	GCA_001029775.1
PRJNA273161_0060	GCA_000997565.1
PRJNA273161_0061	GCA_001000475.1
PRJNA273161_0062	GCA_001001365.1
PRJNA273161_0063	GCA_000998275.1
PRJNA273161_0064	GCA_001000665.1
PRJNA273161_0065	GCA_000997125.1
PRJNA273161_0066	GCA_001002605.1
PRJNA273161_0067	GCA_001000885.1
PRJNA273161_0068	GCA_001000135.1
PRJNA273161_0069	GCA_000998025.1
