genome_name	ncbi_acc
PRJNA376580_0000	GCA_003248855.1
PRJNA376580_0001	GCA_003240765.1
PRJNA376580_0002	GCA_003241525.1
PRJNA376580_0003	GCA_003248375.1
PRJNA376580_0004	GCA_003248585.1
PRJNA376580_0005	GCA_003243215.1
PRJNA376580_0006	GCA_003241215.1
PRJNA376580_0007	GCA_003240655.1
PRJNA376580_0008	GCA_003243425.1
PRJNA376580_0009	GCA_003241355.1
PRJNA376580_0010	GCA_003241075.1
PRJNA376580_0011	GCA_003248635.1
PRJNA376580_0012	GCA_003241205.1
PRJNA376580_0013	GCA_003241545.1
PRJNA376580_0014	GCA_003243265.1
PRJNA376580_0015	GCA_003243305.1
PRJNA376580_0016	GCA_003241645.1
PRJNA376580_0017	GCA_003241095.1
PRJNA376580_0018	GCA_003241005.1
PRJNA376580_0019	GCA_003248965.1
PRJNA376580_0020	GCA_003248455.1
PRJNA376580_0021	GCA_003248925.1
PRJNA376580_0022	GCA_003243465.1
PRJNA376580_0023	GCA_003248805.1
PRJNA376580_0024	GCA_003248755.1
PRJNA376580_0025	GCA_003248465.1
PRJNA376580_0026	GCA_003243445.1
PRJNA376580_0027	GCA_003248785.1
PRJNA376580_0028	GCA_003248395.1
PRJNA376580_0029	GCA_003243515.1
PRJNA376580_0030	GCA_003241755.1
PRJNA376580_0031	GCA_003240965.1
PRJNA376580_0032	GCA_003243365.1
PRJNA376580_0033	GCA_003241135.1
PRJNA376580_0034	GCA_003241045.1
PRJNA376580_0035	GCA_003240845.1
PRJNA376580_0036	GCA_003243165.1
PRJNA376580_0037	GCA_003241515.1
PRJNA376580_0038	GCA_003243255.1
PRJNA376580_0039	GCA_003248485.1
PRJNA376580_0040	GCA_003240955.1
PRJNA376580_0041	GCA_003240925.1
PRJNA376580_0042	GCA_003248405.1
PRJNA376580_0043	GCA_003240835.1
PRJNA376580_0044	GCA_003240705.1
PRJNA376580_0045	GCA_003240995.1
PRJNA376580_0046	GCA_003241315.1
PRJNA376580_0047	GCA_003243275.1
PRJNA376580_0048	GCA_003240615.1
PRJNA376580_0049	GCA_003240775.1
PRJNA376580_0050	GCA_003241555.1
PRJNA376580_0051	GCA_003241285.1
PRJNA376580_0052	GCA_003241475.1
PRJNA376580_0053	GCA_003240795.1
PRJNA376580_0054	GCA_003248655.1
PRJNA376580_0055	GCA_003248605.1
PRJNA376580_0056	GCA_003248835.1
PRJNA376580_0057	GCA_003248845.1
PRJNA376580_0058	GCA_003243185.1
PRJNA376580_0059	GCA_003241455.1
PRJNA376580_0060	GCA_003243335.1
PRJNA376580_0061	GCA_003240635.1
PRJNA376580_0062	GCA_003240735.1
PRJNA376580_0063	GCA_003243355.1
PRJNA376580_0064	GCA_003241595.1
PRJNA376580_0065	GCA_003241145.1
PRJNA376580_0066	GCA_003240885.1
PRJNA376580_0067	GCA_003241655.1
PRJNA376580_0068	GCA_003241745.1
PRJNA376580_0069	GCA_003243545.1
PRJNA376580_0070	GCA_003241405.1
PRJNA376580_0071	GCA_003243385.1
PRJNA376580_0072	GCA_003241175.1
PRJNA376580_0073	GCA_003241185.1
PRJNA376580_0074	GCA_003240695.1
PRJNA376580_0075	GCA_003248675.1
PRJNA376580_0076	GCA_003241385.1
PRJNA376580_0077	GCA_003243455.1
PRJNA376580_0078	GCA_003241785.1
PRJNA376580_0079	GCA_003241055.1
PRJNA376580_0080	GCA_003241435.1
PRJNA376580_0081	GCA_003241225.1
PRJNA376580_0082	GCA_003248545.1
PRJNA376580_0083	GCA_003248775.1
PRJNA376580_0084	GCA_003248645.1
PRJNA376580_0085	GCA_003248935.1
PRJNA376580_0086	GCA_003248695.1
PRJNA376580_0087	GCA_003248505.1
PRJNA376580_0088	GCA_003241025.1
PRJNA376580_0089	GCA_003240755.1
PRJNA376580_0090	GCA_003240855.1
PRJNA376580_0091	GCA_003248515.1
PRJNA376580_0092	GCA_003248385.1
PRJNA376580_0093	GCA_003248735.1
PRJNA376580_0094	GCA_003248865.1
PRJNA376580_0095	GCA_003240625.1
PRJNA376580_0096	GCA_003243195.1
PRJNA376580_0097	GCA_003241685.1
PRJNA376580_0098	GCA_003241305.1
PRJNA376580_0099	GCA_003241345.1
PRJNA376580_0100	GCA_003241485.1
PRJNA376580_0101	GCA_003241695.1
PRJNA376580_0102	GCA_003241705.1
PRJNA376580_0103	GCA_003241275.1
PRJNA376580_0104	GCA_003248565.1
PRJNA376580_0105	GCA_003240915.1
PRJNA376580_0106	GCA_003248915.1
PRJNA376580_0107	GCA_003241585.1
PRJNA376580_0108	GCA_003241635.1
PRJNA376580_0109	GCA_003243375.1
