genome_name	ncbi_acc
PRJNA434545_0000	GCA_003568075.1
PRJNA434545_0001	GCA_003567835.1
PRJNA434545_0002	GCA_003565495.1
PRJNA434545_0003	GCA_003564035.1
PRJNA434545_0004	GCA_003563375.1
PRJNA434545_0005	GCA_003562565.1
PRJNA434545_0006	GCA_003553045.1
PRJNA434545_0007	GCA_003567435.1
PRJNA434545_0008	GCA_003563055.1
PRJNA434545_0009	GCA_003563035.1
PRJNA434545_0010	GCA_003563925.1
PRJNA434545_0011	GCA_003562415.1
PRJNA434545_0012	GCA_003562365.1
PRJNA434545_0013	GCA_003562275.1
PRJNA434545_0014	GCA_003564075.1
PRJNA434545_0015	GCA_003566235.1
PRJNA434545_0016	GCA_003563815.1
PRJNA434545_0017	GCA_003558335.1
PRJNA434545_0018	GCA_003562215.1
PRJNA434545_0019	GCA_003560495.1
PRJNA434545_0020	GCA_003567405.1
PRJNA434545_0021	GCA_003567455.1
PRJNA434545_0022	GCA_003567625.1
PRJNA434545_0023	GCA_003567205.1
PRJNA434545_0024	GCA_003568055.1
PRJNA434545_0025	GCA_003568205.1
PRJNA434545_0026	GCA_003568285.1
PRJNA434545_0027	GCA_003561575.1
PRJNA434545_0028	GCA_003561315.1
PRJNA434545_0029	GCA_003563735.1
PRJNA434545_0030	GCA_003563955.1
PRJNA434545_0031	GCA_003562935.1
PRJNA434545_0032	GCA_003566175.1
PRJNA434545_0033	GCA_003566095.1
PRJNA434545_0034	GCA_003565855.1
PRJNA434545_0035	GCA_003565735.1
PRJNA434545_0036	GCA_003566735.1
PRJNA434545_0037	GCA_003566495.1
PRJNA434545_0038	GCA_003564255.1
PRJNA434545_0039	GCA_003564715.1
PRJNA434545_0040	GCA_003564675.1
PRJNA434545_0041	GCA_003565455.1
PRJNA434545_0042	GCA_003565415.1
PRJNA434545_0043	GCA_003556325.1
PRJNA434545_0044	GCA_003558215.1
PRJNA434545_0045	GCA_003558045.1
PRJNA434545_0046	GCA_003557965.1
PRJNA434545_0047	GCA_003557945.1
PRJNA434545_0048	GCA_003557805.1
PRJNA434545_0049	GCA_003557765.1
PRJNA434545_0050	GCA_003557725.1
PRJNA434545_0051	GCA_003557385.1
PRJNA434545_0052	GCA_003557285.1
PRJNA434545_0053	GCA_003560835.1
PRJNA434545_0054	GCA_003560815.1
PRJNA434545_0055	GCA_003560775.1
PRJNA434545_0056	GCA_003560305.1
PRJNA434545_0057	GCA_003560215.1
PRJNA434545_0058	GCA_003560165.1
PRJNA434545_0059	GCA_003560135.1
PRJNA434545_0060	GCA_003559855.1
PRJNA434545_0061	GCA_003559735.1
PRJNA434545_0062	GCA_003559015.1
PRJNA434545_0063	GCA_003559615.1
PRJNA434545_0064	GCA_003559475.1
PRJNA434545_0065	GCA_003550825.1
PRJNA434545_0066	GCA_003550725.1
PRJNA434545_0067	GCA_003552245.1
PRJNA434545_0068	GCA_003552205.1
PRJNA434545_0069	GCA_003552075.1
PRJNA434545_0070	GCA_003551825.1
PRJNA434545_0071	GCA_003551345.1
PRJNA434545_0072	GCA_003551185.1
PRJNA434545_0073	GCA_003553005.1
PRJNA434545_0074	GCA_003553765.1
PRJNA434545_0075	GCA_003553405.1
PRJNA434545_0076	GCA_003555385.1
PRJNA434545_0077	GCA_003555045.1
PRJNA434545_0078	GCA_003554665.1
PRJNA434545_0079	GCA_003554165.1
PRJNA434545_0080	GCA_003554065.1
PRJNA434545_0081	GCA_003568385.1
PRJNA434545_0082	GCA_003567115.1
PRJNA434545_0083	GCA_003565275.1
PRJNA434545_0084	GCA_003564495.1
PRJNA434545_0085	GCA_003566695.1
PRJNA434545_0086	GCA_003563525.1
PRJNA434545_0087	GCA_003561995.1
PRJNA434545_0088	GCA_003559695.1
PRJNA434545_0089	GCA_003561015.1
PRJNA434545_0090	GCA_003560655.1
PRJNA434545_0091	GCA_003557255.1
PRJNA434545_0092	GCA_003556985.1
PRJNA434545_0093	GCA_003556895.1
PRJNA434545_0094	GCA_003557775.1
PRJNA434545_0095	GCA_003556745.1
PRJNA434545_0096	GCA_003556565.1
PRJNA434545_0097	GCA_003554865.1
PRJNA434545_0098	GCA_003551495.1
PRJNA434545_0099	GCA_003552405.1
PRJNA434545_0100	GCA_003555185.1
PRJNA434545_0101	GCA_003553865.1
PRJNA434545_0102	GCA_003556665.1
PRJNA434545_0103	GCA_003556205.1
PRJNA434545_0104	GCA_003557045.1
PRJNA434545_0105	GCA_003560435.1
PRJNA434545_0106	GCA_003559375.1
PRJNA434545_0107	GCA_003558475.1
PRJNA434545_0108	GCA_003561455.1
PRJNA434545_0109	GCA_003561515.1
PRJNA434545_0110	GCA_003562665.1
PRJNA434545_0111	GCA_003564745.1
PRJNA434545_0112	GCA_003564615.1
PRJNA434545_0113	GCA_003564595.1
PRJNA434545_0114	GCA_003568095.1
PRJNA434545_0115	GCA_003567795.1
PRJNA434545_0116	GCA_003568255.1
PRJNA434545_0117	GCA_003567135.1
PRJNA434545_0118	GCA_003567355.1
PRJNA434545_0119	GCA_003564535.1
PRJNA434545_0120	GCA_003566635.1
PRJNA434545_0121	GCA_003566825.1
PRJNA434545_0122	GCA_003566645.1
PRJNA434545_0123	GCA_003566395.1
PRJNA434545_0124	GCA_003565595.1
PRJNA434545_0125	GCA_003561355.1
PRJNA434545_0126	GCA_003561195.1
PRJNA434545_0127	GCA_003562425.1
PRJNA434545_0128	GCA_003558355.1
PRJNA434545_0129	GCA_003558865.1
PRJNA434545_0130	GCA_003559045.1
PRJNA434545_0131	GCA_003558975.1
PRJNA434545_0132	GCA_003560335.1
PRJNA434545_0133	GCA_003559715.1
PRJNA434545_0134	GCA_003559925.1
PRJNA434545_0135	GCA_003560895.1
PRJNA434545_0136	GCA_003557245.1
PRJNA434545_0137	GCA_003556685.1
PRJNA434545_0138	GCA_003553465.1
PRJNA434545_0139	GCA_003555145.1
PRJNA434545_0140	GCA_003554975.1
PRJNA434545_0141	GCA_003554765.1
PRJNA434545_0142	GCA_003550465.1
PRJNA434545_0143	GCA_003562835.1
PRJNA434545_0144	GCA_003566035.1
PRJNA434545_0145	GCA_003565935.1
PRJNA434545_0146	GCA_003559575.1
PRJNA434545_0147	GCA_003566815.1
PRJNA434545_0148	GCA_003559155.1
