genome_name	ncbi_acc
PRJNA391943_0000	GCA_002727995.1
PRJNA391943_0001	GCA_002694065.1
PRJNA391943_0002	GCA_002693245.1
PRJNA391943_0003	GCA_002705025.1
PRJNA391943_0004	GCA_002726415.1
PRJNA391943_0005	GCA_002725835.1
PRJNA391943_0006	GCA_002729715.1
PRJNA391943_0007	GCA_002729195.1
PRJNA391943_0008	GCA_002725185.1
PRJNA391943_0009	GCA_002724185.1
PRJNA391943_0010	GCA_002721105.1
PRJNA391943_0011	GCA_002714255.1
PRJNA391943_0012	GCA_002713825.1
PRJNA391943_0013	GCA_002713125.1
PRJNA391943_0014	GCA_002687565.1
PRJNA391943_0015	GCA_002686015.1
PRJNA391943_0016	GCA_002731295.1
PRJNA391943_0017	GCA_002687745.1
PRJNA391943_0018	GCA_002687365.1
PRJNA391943_0019	GCA_002713545.1
PRJNA391943_0020	GCA_002713525.1
PRJNA391943_0021	GCA_002713485.1
PRJNA391943_0022	GCA_002712445.1
PRJNA391943_0023	GCA_002712325.1
PRJNA391943_0024	GCA_002713765.1
PRJNA391943_0025	GCA_002713975.1
PRJNA391943_0026	GCA_002714225.1
PRJNA391943_0027	GCA_002714485.1
PRJNA391943_0028	GCA_002709645.1
PRJNA391943_0029	GCA_002708935.1
PRJNA391943_0030	GCA_002720565.1
PRJNA391943_0031	GCA_002720485.1
PRJNA391943_0032	GCA_002720045.1
PRJNA391943_0033	GCA_002719335.1
PRJNA391943_0034	GCA_002719235.1
PRJNA391943_0035	GCA_002717325.1
PRJNA391943_0036	GCA_002717365.1
PRJNA391943_0037	GCA_002716285.1
PRJNA391943_0038	GCA_002715405.1
PRJNA391943_0039	GCA_002721305.1
PRJNA391943_0040	GCA_002721075.1
PRJNA391943_0041	GCA_002722565.1
PRJNA391943_0042	GCA_002722525.1
PRJNA391943_0043	GCA_002722465.1
PRJNA391943_0044	GCA_002724825.1
PRJNA391943_0045	GCA_002724495.1
PRJNA391943_0046	GCA_002725355.1
PRJNA391943_0047	GCA_002725235.1
PRJNA391943_0048	GCA_002729765.1
PRJNA391943_0049	GCA_002729125.1
PRJNA391943_0050	GCA_002728515.1
PRJNA391943_0051	GCA_002731135.1
PRJNA391943_0052	GCA_002730955.1
PRJNA391943_0053	GCA_002730515.1
PRJNA391943_0054	GCA_002726315.1
PRJNA391943_0055	GCA_002726075.1
PRJNA391943_0056	GCA_002726525.1
PRJNA391943_0057	GCA_002727955.1
PRJNA391943_0058	GCA_002727895.1
PRJNA391943_0059	GCA_002727855.1
PRJNA391943_0060	GCA_002727235.1
PRJNA391943_0061	GCA_002705305.1
PRJNA391943_0062	GCA_002704945.1
PRJNA391943_0063	GCA_002703225.1
PRJNA391943_0064	GCA_002703045.1
PRJNA391943_0065	GCA_002702085.1
PRJNA391943_0066	GCA_002699725.1
PRJNA391943_0067	GCA_002699625.1
PRJNA391943_0068	GCA_002699505.1
PRJNA391943_0069	GCA_002699455.1
PRJNA391943_0070	GCA_002698945.1
PRJNA391943_0071	GCA_002698445.1
PRJNA391943_0072	GCA_002693375.1
PRJNA391943_0073	GCA_002692945.1
PRJNA391943_0074	GCA_002692545.1
PRJNA391943_0075	GCA_002693885.1
PRJNA391943_0076	GCA_002694825.1
PRJNA391943_0077	GCA_002694625.1
PRJNA391943_0078	GCA_002698125.1
PRJNA391943_0079	GCA_002697965.1
PRJNA391943_0080	GCA_002696225.1
PRJNA391943_0081	GCA_002691865.1
PRJNA391943_0082	GCA_002690205.1
PRJNA391943_0083	GCA_002690175.1
PRJNA391943_0084	GCA_002688245.1
PRJNA391943_0085	GCA_002693525.1
PRJNA391943_0086	GCA_002726085.1
PRJNA391943_0087	GCA_002725615.1
PRJNA391943_0088	GCA_002730525.1
PRJNA391943_0089	GCA_002731215.1
PRJNA391943_0090	GCA_002730735.1
PRJNA391943_0091	GCA_002722645.1
PRJNA391943_0092	GCA_002722875.1
PRJNA391943_0093	GCA_002722915.1
PRJNA391943_0094	GCA_002720815.1
PRJNA391943_0095	GCA_002715285.1
PRJNA391943_0096	GCA_002717745.1
PRJNA391943_0097	GCA_002720285.1
PRJNA391943_0098	GCA_002710925.1
PRJNA391943_0099	GCA_002714165.1
PRJNA391943_0100	GCA_002712885.1
PRJNA391943_0101	GCA_002712865.1
PRJNA391943_0102	GCA_002713265.1
PRJNA391943_0103	GCA_002687695.1
PRJNA391943_0104	GCA_002729655.1
PRJNA391943_0105	GCA_002711945.1
PRJNA391943_0106	GCA_002694305.1
PRJNA391943_0107	GCA_002685775.1
PRJNA391943_0108	GCA_002686415.1
PRJNA391943_0109	GCA_002683085.1
PRJNA391943_0110	GCA_002683075.1
PRJNA391943_0111	GCA_002691445.1
PRJNA391943_0112	GCA_002697535.1
PRJNA391943_0113	GCA_002700085.1
PRJNA391943_0114	GCA_002700205.1
PRJNA391943_0115	GCA_002703025.1
PRJNA391943_0116	GCA_002702625.1
PRJNA391943_0117	GCA_002704725.1
PRJNA391943_0118	GCA_002707615.1
PRJNA391943_0119	GCA_002709475.1
PRJNA391943_0120	GCA_002712415.1
PRJNA391943_0121	GCA_002712485.1
PRJNA391943_0122	GCA_002717405.1
PRJNA391943_0123	GCA_002716705.1
PRJNA391943_0124	GCA_002716485.1
PRJNA391943_0125	GCA_002715425.1
PRJNA391943_0126	GCA_002728555.1
PRJNA391943_0127	GCA_002728435.1
PRJNA391943_0128	GCA_002725135.1
PRJNA391943_0129	GCA_002724905.1
PRJNA391943_0130	GCA_002724835.1
PRJNA391943_0131	GCA_002724355.1
PRJNA391943_0132	GCA_002721155.1
PRJNA391943_0133	GCA_002721755.1
PRJNA391943_0134	GCA_002722395.1
PRJNA391943_0135	GCA_002731435.1
PRJNA391943_0136	GCA_002731665.1
PRJNA391943_0137	GCA_002701665.2
PRJNA391943_0138	GCA_002683555.1
PRJNA391943_0139	GCA_002683495.1
PRJNA391943_0140	GCA_002715485.1
PRJNA391943_0141	GCA_002715155.1
PRJNA391943_0142	GCA_002726175.1
PRJNA391943_0143	GCA_002697085.1
PRJNA391943_0144	GCA_002696305.1
PRJNA391943_0145	GCA_002688935.1
PRJNA391943_0146	GCA_002699245.1
PRJNA391943_0147	GCA_002689225.1
PRJNA391943_0148	GCA_002698425.1
PRJNA391943_0149	GCA_002706335.1
PRJNA391943_0150	GCA_002694165.1
PRJNA391943_0151	GCA_002706085.1
PRJNA391943_0152	GCA_002703665.1
PRJNA391943_0153	GCA_002693845.1
PRJNA391943_0154	GCA_002696185.1
PRJNA391943_0155	GCA_002726155.1
PRJNA391943_0156	GCA_002726045.1
PRJNA391943_0157	GCA_002729845.1
PRJNA391943_0158	GCA_002730615.1
PRJNA391943_0159	GCA_002715685.1
PRJNA391943_0160	GCA_002716245.1
PRJNA391943_0161	GCA_002719735.1
PRJNA391943_0162	GCA_002714095.1
PRJNA391943_0163	GCA_002709465.1
PRJNA391943_0164	GCA_002710625.1
PRJNA391943_0165	GCA_002683025.1
PRJNA391943_0166	GCA_002685555.1
PRJNA391943_0167	GCA_002731335.1
PRJNA391943_0168	GCA_002695825.1
PRJNA391943_0169	GCA_002694565.1
PRJNA391943_0170	GCA_002694925.1
PRJNA391943_0171	GCA_002692905.1
PRJNA391943_0172	GCA_002697805.1
PRJNA391943_0173	GCA_002690045.1
PRJNA391943_0174	GCA_002688995.1
PRJNA391943_0175	GCA_002691735.1
PRJNA391943_0176	GCA_002701555.1
PRJNA391943_0177	GCA_002705225.1
PRJNA391943_0178	GCA_002706845.1
PRJNA391943_0179	GCA_002711025.1
PRJNA391943_0180	GCA_002712255.1
PRJNA391943_0181	GCA_002718635.1
PRJNA391943_0182	GCA_002717105.1
PRJNA391943_0183	GCA_002716465.1
PRJNA391943_0184	GCA_002717545.1
PRJNA391943_0185	GCA_002727315.1
PRJNA391943_0186	GCA_002724695.1
PRJNA391943_0187	GCA_002722515.1
PRJNA391943_0188	GCA_002719495.1
PRJNA391943_0189	GCA_002710955.1
PRJNA391943_0190	GCA_002720615.1
PRJNA391943_0191	GCA_002717955.1
PRJNA391943_0192	GCA_002723205.1
PRJNA391943_0193	GCA_002721455.1
PRJNA391943_0194	GCA_002727705.1
PRJNA391943_0195	GCA_002729795.1
PRJNA391943_0196	GCA_002705505.1
PRJNA391943_0197	GCA_002706185.1
PRJNA391943_0198	GCA_002691625.1
PRJNA391943_0199	GCA_002698065.1
PRJNA391943_0200	GCA_002696855.1
PRJNA391943_0201	GCA_002695345.1
PRJNA391943_0202	GCA_002685035.1
PRJNA391943_0203	GCA_002683455.1
PRJNA391943_0204	GCA_002684255.1
