genome_name	ncbi_acc
PRJNA449258_0000	GCA_003669115.1
PRJNA449258_0001	GCA_003672015.1
PRJNA449258_0002	GCA_003672025.1
PRJNA449258_0003	GCA_003672095.1
PRJNA449258_0004	GCA_003672075.1
PRJNA449258_0005	GCA_003670795.1
PRJNA449258_0006	GCA_003670775.1
PRJNA449258_0007	GCA_003670735.1
PRJNA449258_0008	GCA_003670625.1
PRJNA449258_0009	GCA_003670745.1
PRJNA449258_0010	GCA_003670705.1
PRJNA449258_0011	GCA_003670675.1
PRJNA449258_0012	GCA_003670685.1
PRJNA449258_0013	GCA_003670615.1
PRJNA449258_0014	GCA_003670635.1
PRJNA449258_0015	GCA_003670555.1
PRJNA449258_0016	GCA_003670565.1
PRJNA449258_0017	GCA_003670515.1
PRJNA449258_0018	GCA_003670575.1
PRJNA449258_0019	GCA_003670495.1
PRJNA449258_0020	GCA_003670505.1
PRJNA449258_0021	GCA_003670475.1
PRJNA449258_0022	GCA_003670425.1
PRJNA449258_0023	GCA_003670455.1
PRJNA449258_0024	GCA_003670405.1
PRJNA449258_0025	GCA_003670395.1
PRJNA449258_0026	GCA_003670345.1
PRJNA449258_0027	GCA_003670355.1
PRJNA449258_0028	GCA_003670335.1
PRJNA449258_0029	GCA_003669145.1
PRJNA449258_0030	GCA_003669125.1
PRJNA449258_0031	GCA_003672035.1
PRJNA449258_0032	GCA_003671275.1
PRJNA449258_0033	GCA_003671265.1
PRJNA449258_0034	GCA_003671255.1
PRJNA449258_0035	GCA_003671175.1
PRJNA449258_0036	GCA_003671235.1
PRJNA449258_0037	GCA_003671195.1
PRJNA449258_0038	GCA_003671185.1
PRJNA449258_0039	GCA_003671145.1
PRJNA449258_0040	GCA_003671125.1
PRJNA449258_0041	GCA_003671115.1
PRJNA449258_0042	GCA_003671065.1
PRJNA449258_0043	GCA_003671075.1
PRJNA449258_0044	GCA_003671055.1
PRJNA449258_0045	GCA_003671025.1
PRJNA449258_0046	GCA_003671005.1
PRJNA449258_0047	GCA_003670995.1
PRJNA449258_0048	GCA_003670925.1
PRJNA449258_0049	GCA_003670965.1
PRJNA449258_0050	GCA_003670955.1
PRJNA449258_0051	GCA_003670885.1
PRJNA449258_0052	GCA_003670915.1
PRJNA449258_0053	GCA_003670865.1
PRJNA449258_0054	GCA_003670855.1
PRJNA449258_0055	GCA_003670825.1
PRJNA449258_0056	GCA_003670805.1
PRJNA449258_0057	GCA_003669795.1
PRJNA449258_0058	GCA_003669755.1
PRJNA449258_0059	GCA_003669765.1
PRJNA449258_0060	GCA_003669725.1
PRJNA449258_0061	GCA_003669705.1
PRJNA449258_0062	GCA_003669695.1
PRJNA449258_0063	GCA_003669615.1
PRJNA449258_0064	GCA_003669665.1
PRJNA449258_0065	GCA_003669655.1
PRJNA449258_0066	GCA_003669575.1
PRJNA449258_0067	GCA_003669605.1
PRJNA449258_0068	GCA_003669585.1
PRJNA449258_0069	GCA_003669525.1
PRJNA449258_0070	GCA_003669555.1
PRJNA449258_0071	GCA_003669505.1
PRJNA449258_0072	GCA_003669495.1
PRJNA449258_0073	GCA_003669445.1
PRJNA449258_0074	GCA_003669475.1
PRJNA449258_0075	GCA_003669425.1
PRJNA449258_0076	GCA_003669415.1
PRJNA449258_0077	GCA_003669395.1
PRJNA449258_0078	GCA_003669375.1
PRJNA449258_0079	GCA_003669285.1
PRJNA449258_0080	GCA_003669335.1
PRJNA449258_0081	GCA_003669345.1
PRJNA449258_0082	GCA_003669295.1
PRJNA449258_0083	GCA_003669275.1
PRJNA449258_0084	GCA_003669255.1
PRJNA449258_0085	GCA_003669205.1
PRJNA449258_0086	GCA_003669215.1
PRJNA449258_0087	GCA_003669195.1
PRJNA449258_0088	GCA_003669165.1
