genome_name	ncbi_acc
PRJNA449266_0000	GCA_003225635.1
PRJNA449266_0001	GCA_003225615.1
PRJNA449266_0002	GCA_003225595.1
PRJNA449266_0003	GCA_003225565.1
PRJNA449266_0004	GCA_003225555.1
PRJNA449266_0005	GCA_003225535.1
PRJNA449266_0006	GCA_003225515.1
PRJNA449266_0007	GCA_003225455.1
PRJNA449266_0008	GCA_003225495.1
PRJNA449266_0009	GCA_003225465.1
PRJNA449266_0010	GCA_003225435.1
PRJNA449266_0011	GCA_003225375.1
PRJNA449266_0012	GCA_003225415.1
PRJNA449266_0013	GCA_003225365.1
PRJNA449266_0014	GCA_003225335.1
PRJNA449266_0015	GCA_003225355.1
PRJNA449266_0016	GCA_003225315.1
PRJNA449266_0017	GCA_003225295.1
PRJNA449266_0018	GCA_003225275.1
PRJNA449266_0019	GCA_003225215.1
PRJNA449266_0020	GCA_003225255.1
PRJNA449266_0021	GCA_003225235.1
PRJNA449266_0022	GCA_003225195.1
PRJNA449266_0023	GCA_003225175.1
PRJNA449266_0024	GCA_003225155.1
PRJNA449266_0025	GCA_003225115.1
PRJNA449266_0026	GCA_003225135.1
PRJNA449266_0027	GCA_003225095.1
PRJNA449266_0028	GCA_003225055.1
PRJNA449266_0029	GCA_003225075.1
PRJNA449266_0030	GCA_003224995.1
PRJNA449266_0031	GCA_003225035.1
PRJNA449266_0032	GCA_003224975.1
PRJNA449266_0033	GCA_003225005.1
PRJNA449266_0034	GCA_003224955.1
PRJNA449266_0035	GCA_003224935.1
PRJNA449266_0036	GCA_003224905.1
PRJNA449266_0037	GCA_003224895.1
PRJNA449266_0038	GCA_003224875.1
PRJNA449266_0039	GCA_003224855.1
PRJNA449266_0040	GCA_003224835.1
PRJNA449266_0041	GCA_003224815.1
PRJNA449266_0042	GCA_003224775.1
PRJNA449266_0043	GCA_003224755.1
PRJNA449266_0044	GCA_003224785.1
PRJNA449266_0045	GCA_003224725.1
PRJNA449266_0046	GCA_003224715.1
PRJNA449266_0047	GCA_003224695.1
PRJNA449266_0048	GCA_003224655.1
PRJNA449266_0049	GCA_003224665.1
PRJNA449266_0050	GCA_003224635.1
PRJNA449266_0051	GCA_003224575.1
PRJNA449266_0052	GCA_003224615.1
PRJNA449266_0053	GCA_003224555.1
PRJNA449266_0054	GCA_003224585.1
PRJNA449266_0055	GCA_003224525.1
PRJNA449266_0056	GCA_003224515.1
PRJNA449266_0057	GCA_003224495.1
PRJNA449266_0058	GCA_003224475.1
PRJNA449266_0059	GCA_003224235.1
PRJNA449266_0060	GCA_003224195.1
PRJNA449266_0061	GCA_003224175.1
PRJNA449266_0062	GCA_003224145.1
PRJNA449266_0063	GCA_003224135.1
PRJNA449266_0064	GCA_003224105.1
